ID,Name,PubChem CID,CAS number,canonical SMILES,Taste,Class taste,Reference_(cod)/[pp],taste_word_count,taste_has_multiple,smiles_length,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,num_rings,num_aromatic,num_double_bonds,num_triple_bonds,num_brackets,num_branches,C_O_ratio,N_C_ratio,ring_aromatic_ratio,heteroatom_ratio
2112,"Homoserine lactone, N-butyryl-L-",443433,67605-85-0,CCCC(=O)NC1CCOC1=O,Bitter,Bitterness,Dagan-Wiener2019_(952),1,False,18,8,3,1,0,0,2,0,2,0,0,2,2.0,0.1111111111111111,0.0,0.21052631578947367
2113,"Homoserine lactone, N-hexanoyl-L-",10058590,147852-83-3,CCCCCC(=O)NC1CCOC1=O,Bitter,Bitterness,Dagan-Wiener2019_(949),1,False,20,10,3,1,0,0,2,0,2,0,0,2,2.5,0.09090909090909091,0.0,0.19047619047619047
2114,Hulupinic acid,12310637,1891-42-5,CC(C)=CCC1(CC=C(C)C)C(=O)C(=C(O)C1=O)O,Bitter,Bitterness,Dagan-Wiener2019_(1087),1,False,38,15,4,0,0,0,2,0,5,0,0,12,3.0,0.0,0.0,0.10256410256410256
2115,Hulupone,630403,468-62-2,CC(C)CC(=O)C1=C(O)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O,Bitter,Bitterness,Dagan-Wiener2019_(1085),1,False,48,20,4,0,0,0,2,0,6,0,0,16,4.0,0.0,0.0,0.08163265306122448
2116,Humulinone,534962,26110-47-4,CC(C)CC(=O)C1=C(O)C(O)(CC=C(C)C)C(O)(C(=O)CC=C(C)C)C1=O,Bitter,Bitterness,Dagan-Wiener2019_(1047),1,False,55,21,6,0,0,0,2,0,6,0,0,20,3.0,0.0,0.0,0.10714285714285714
2117,Humulone,442911,26472-41-3,CC(C)CC(=O)C1=C(O)C(=C(O)C(O)(CC=C(C)C)C1=O)CC=C(C)C,Bitter,Bitterness,"Dagan-Wiener2019_(11,36); Wong2018_[283]",1,False,52,21,5,0,0,0,2,0,6,0,0,18,3.5,0.0,0.0,0.09433962264150944
2118,Hydrocortisone,5754,50-23-7,CC12CCC(=O)C=C2CCC2C3CCC(O)(C(=O)CO)C3(C)CC(O)C12,Bitter,Bitterness,Dagan-Wiener2019_(129),1,False,49,21,5,0,0,0,8,0,3,0,0,12,3.5,0.0,0.0,0.1
2119,Hydrogen peroxide,784,7722-84-1,OO,Bitter,Bitterness,Dagan-Wiener2019_(248),1,False,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6666666666666666
2120,Hydroperoxy-cis-alloisoadhumulone,*,*,CCC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)OO,Bitter,Bitterness,Dagan-Wiener2019_(1069),1,False,56,21,7,0,0,0,2,0,6,0,0,20,2.625,0.0,0.0,0.12280701754385964
2121,Hydroperoxy-cis-alloisocohumulone,*,*,CC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)OO,Bitter,Bitterness,Dagan-Wiener2019_(1067),1,False,55,20,7,0,0,0,2,0,6,0,0,20,2.5,0.0,0.0,0.125
